Date,Name
1974/1/21,S#100
1974/5/1,S#200
1974/8/9,S#300
1974/11/17,S#400
1975/2/25,S#500
1975/6/5,S#600
1975/9/13,S#700
1975/12/22,S#800
1976/3/31,S#900
1976/7/9,S#1000
1976/10/17,S#1100
1977/1/25,S#1200
1977/5/5,S#1300
1977/8/13,S#1400
1977/11/21,S#1500
1978/3/1,S#1600
1978/6/9,S#1700
1978/9/17,S#1800
1978/12/26,S#1900
1979/4/5,S#2000
1979/7/14,S#2100
1979/10/22,S#2200
1980/1/30,S#2300
1980/5/9,S#2400
1980/8/17,S#2500
1980/11/25,S#2600
1981/3/5,S#2700
1981/6/13,S#2800
1981/9/21,S#2900
1981/12/30,S#3000
1982/4/9,S#3100
1982/7/18,S#3200
1982/10/26,S#3300
1983/2/3,S#3400
1983/5/14,S#3500
1983/8/22,S#3600
1983/11/30,S#3700
1984/3/9,S#3800
1984/6/17,S#3900
1984/9/25,S#4000
1985/1/3,S#4100
1985/4/13,S#4200
1985/7/22,S#4300
1985/10/30,S#4400
1986/2/7,S#4500
1986/5/18,S#4600
1986/8/26,S#4700
1986/12/4,S#4800
1987/3/14,S#4900
1987/6/22,S#5000
1987/9/30,S#5100
1988/1/8,S#5200
1988/4/17,S#5300
1988/7/26,S#5400
1988/11/3,S#5500
1989/2/11,S#5600
1989/5/22,S#5700
1989/8/30,S#5800
1989/12/8,S#5900
1990/3/18,S#6000
1990/6/26,S#6100
1990/10/4,S#6200
1991/1/12,S#6300
1991/4/22,S#6400
1991/7/31,S#6500
1991/11/8,S#6600
1992/2/16,S#6700
1992/5/26,S#6800
1992/9/3,S#6900
1992/12/12,S#7000
1993/3/22,S#7100
1993/6/30,S#7200
1993/10/8,S#7300
1994/1/16,S#7400
1994/4/26,S#7500
1994/8/4,S#7600
1994/11/12,S#7700
1995/2/20,S#7800
1995/5/31,S#7900
1995/9/8,S#8000
1995/12/17,S#8100
1996/3/26,S#8200
1996/7/4,S#8300
1996/10/12,S#8400
1997/1/20,S#8500
1997/4/30,S#8600
1997/8/8,S#8700
1997/11/16,S#8800
1998/2/24,S#8900
1998/6/4,S#9000
1998/9/12,S#9100
1998/12/21,S#9200
1999/3/31,S#9300
1999/7/9,S#9400
1999/10/17,S#9500
2000/1/25,S#9600
2000/5/4,S#9700
2000/8/12,S#9800
2000/11/20,S#9900
2001/2/28,S#10000
2001/6/8,S#10100
2001/9/16,S#10200
2001/12/25,S#10300
2002/4/4,S#10400
2002/7/13,S#10500
2002/10/21,S#10600
2003/1/29,S#10700
2003/5/9,S#10800
2003/8/17,S#10900
2003/11/25,S#11000
2004/3/4,S#11100
2004/6/12,S#11200
2004/9/20,S#11300
2004/12/29,S#11400
2005/4/8,S#11500
2005/7/17,S#11600
2005/10/25,S#11700
2006/2/2,S#11800
2006/5/13,S#11900
2006/8/21,S#12000
2006/11/29,S#12100
2007/3/9,S#12200
2007/6/17,S#12300
2007/9/25,S#12400
2008/1/3,S#12500
2008/4/12,S#12600
2008/7/21,S#12700
2008/10/29,S#12800
2009/2/6,S#12900
2009/5/17,S#13000
2009/8/25,S#13100
2009/12/3,S#13200
2010/3/13,S#13300
2010/6/21,S#13400
2010/9/29,S#13500
2011/1/7,S#13600
2011/4/17,S#13700
2011/7/26,S#13800
2011/11/3,S#13900
2012/2/11,S#14000
2012/5/21,S#14100
2012/8/29,S#14200
2012/12/7,S#14300
2013/3/17,S#14400
2013/6/25,S#14500
2013/10/3,S#14600
2014/1/11,S#14700
2014/4/21,S#14800
2014/7/30,S#14900
2014/11/7,S#15000
2015/2/15,S#15100
2015/5/26,S#15200
2015/9/3,S#15300
2015/12/12,S#15400
2016/3/21,S#15500
2016/6/29,S#15600
2016/10/7,S#15700
2017/1/15,S#15800
2017/4/25,S#15900
2017/8/3,S#16000
2017/11/11,S#16100
2018/2/19,S#16200
2018/5/30,S#16300
2018/9/7,S#16400
2018/12/16,S#16500
2019/3/26,S#16600
2019/7/4,S#16700
2019/10/12,S#16800
2020/1/20,S#16900
2020/4/29,S#17000
2020/8/7,S#17100
2020/11/15,S#17200
2021/2/23,S#17300
2021/6/3,S#17400
2021/9/11,S#17500
2021/12/20,S#17600
2022/3/30,S#17700
2022/7/8,S#17800
2022/10/16,S#17900
2023/1/24,S#18000
2023/5/4,S#18100
2023/8/12,S#18200
2023/11/20,S#18300
2024/2/28,S#18400
2024/6/7,S#18500
2024/9/15,S#18600
2024/12/24,S#18700
2025/4/3,S#18800
2025/7/12,S#18900
2025/10/20,S#19000
2026/1/28,S#19100
2026/5/8,S#19200
2026/8/16,S#19300
2026/11/24,S#19400
2027/3/4,S#19500
2027/6/12,S#19600
2027/9/20,S#19700
2027/12/29,S#19800
2028/4/7,S#19900
2028/7/16,S#20000
2028/10/24,S#20100
2029/2/1,S#20200
2029/5/12,S#20300
2029/8/20,S#20400
2029/11/28,S#20500
2030/3/8,S#20600
2030/6/16,S#20700
2030/9/24,S#20800
2031/1/2,S#20900
2031/4/12,S#21000
2031/7/21,S#21100
2031/10/29,S#21200
2032/2/6,S#21300
2032/5/16,S#21400
2032/8/24,S#21500
2032/12/2,S#21600
2033/3/12,S#21700
2033/6/20,S#21800
2033/9/28,S#21900
2034/1/6,S#22000
2034/4/16,S#22100
2034/7/25,S#22200
2034/11/2,S#22300
2035/2/10,S#22400
2035/5/21,S#22500
2035/8/29,S#22600
2035/12/7,S#22700
2036/3/16,S#22800
2036/6/24,S#22900
2036/10/2,S#23000
2037/1/10,S#23100
2037/4/20,S#23200
2037/7/29,S#23300
2037/11/6,S#23400
2038/2/14,S#23500
2038/5/25,S#23600
2038/9/2,S#23700
2038/12/11,S#23800
2039/3/21,S#23900
2039/6/29,S#24000
2039/10/7,S#24100
2040/1/15,S#24200
2040/4/24,S#24300
