PageWorks,PageActivity,PageToday,PageCalendar,PageAnn,Year,Name,Title,Role,WorksType,DateStart,DateEnd,Weekday,DateAdd,DateDelete,URL
Y,Y,Y,Y,Y,1999,Cosmo Disney,『ピッチフォーク・ディズニー（朗読劇）』,,舞台,1999/7/29,1999/7/31,,,,https://h2col.notion.site/1b98a08476c7801d8df3c989dab268ad
Y,Y,Y,Y,Y,1999,,女医,,TV,1999/7/5,1999/9/13,1,,,https://h2col.notion.site/4f63d716a24b4ebb9dc209ae0dbd07f7
Y,Y,Y,Y,Y,1999,大空渉,ア･オ･ゾ･ラ･マ･ー･ジ･ャ･ン,主演,TV,1999/5/5,1999/6/30,3,,,https://h2col.notion.site/1b78a08476c7805b8063fb9da929e6e0
Y,Y,Y,Y,Y,1999,,The Gospellers アカペラツアー「アカペラ人」,,その他,1999/1/30,1999/1/30,,,,https://h2col.notion.site/1148a08476c780cf9092ee86ed408d37
Y,Y,Y,Y,Y,1998,風侍,Zenmai 金色の草原に立つ時限爆弾をもった少年,主演,舞台,1998/10/16,1998/10/29,,,,https://h2col.notion.site/1b68a08476c78083867bd3bc635d8815
Y,Y,Y,Y,Y,1998,,水の味,主演,舞台,1998/5/23,1998/5/27,,,,https://h2col.notion.site/3784a3fb60124ebaa47451199f84a61c
Y,Y,Y,Y,Y,1998,,『東京オレンジ「Tempest～Tigershot meet with Shakespeare～」』,主演,舞台,1998/3/13,1998/3/16,,,,https://h2col.notion.site/ce6ad7ca903b41c1b40b0602f2f10830
Y,Y,Y,Y,Y,1997,,『双数姉妹「週刊明星VOL.2」』,,舞台,1997/12/30,1997/12/30,,,,https://h2col.notion.site/6679d5d09b334993a66f84374b62deda
Y,Y,Y,Y,Y,1997,,『東京オレンジ「EXPLORER～Tigershot Go Space」』,主演,舞台,1997/11/14,1997/12/1,,,,https://h2col.notion.site/e36c516b339f40c1aca1ba1002a9e061
Y,Y,Y,Y,Y,1997,,『双数姉妹「週刊明星VOL.0」』,,舞台,1997/9/21,1997/9/21,,,,https://h2col.notion.site/367a9ad057224457bdca13b430351ee9
Y,Y,Y,Y,Y,1997,,恋、した。 第15話 「PM6:31 アースクェイク」,,TV,1997/7/22,1997/7/22,,,,https://h2col.notion.site/9207e2786ec14a63a197d577faa40cbc
Y,Y,Y,Y,Y,1997,,『第三舞台「コーマ・エンジェル～天使は瞳を閉じてより～」』,,舞台,1997/6/13,1997/7/2,,,,https://h2col.notion.site/20e057e5a1484277818d2adb29bcf2bd
Y,Y,Y,Y,Y,1997,,『東京オレンジ「こども刑務所」』,主演,舞台,1997/4/12,1997/4/21,,,,https://h2col.notion.site/f2fa715d7bb54aed87c50835a97758fe
Y,Y,Y,Y,Y,1997,鬼王,『桜月流美剱道「スサビ」』,,舞台,1997/3/7,1997/3/10,,,,https://h2col.notion.site/1b98a08476c78073a84ac1c6b1e6c750
Y,Y,Y,Y,Y,1997,白鳥麗次,こちら葛飾区亀有公園前派出所 (テレビアニメ),,声の出演,1997/2/9,1997/2/9,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
Y,Y,Y,Y,Y,1997,,『アンファン・テリブル・プロデュース「SOUL OF MANDARIN ~ SOULOF COLORS 15」』,主演,舞台,1997/1/24,1997/1/26,,,,https://h2col.notion.site/0ec47b285e1341b2af37351af2279310
Y,Y,Y,Y,Y,1996,,『ネルケビューネ「5人の帰れない男達」』,,舞台,1996/12/26,1996/12/30,,,,https://h2col.notion.site/7bcc2e6d39b34cd4b263f9102809a282
Y,Y,Y,Y,Y,1996,,『東京オレンジ「SCORPION」』,主演,舞台,1996/11/28,1996/12/4,,,,https://h2col.notion.site/8306f13e8c6d4728b0ba48a604ad5cad
Y,Y,Y,Y,Y,1996,,TOKYO23区の女 第22話 葛飾区の女,,TV,1996/8/31,1996/8/31,,,,https://h2col.notion.site/ea24711ca55446e6a359af291999952c
Y,Y,Y,Y,Y,1996,,curate246-T「バイブ」,,舞台,1996/7/6,1996/7/14,,,,https://h2col.notion.site/1474e826317e4e37bc9595ea536197c6
Y,Y,Y,Y,Y,1996,,『東京オレンジ「EXTRAVAGANZA!」』,主演,舞台,1996/5/17,1996/5/30,,,,https://h2col.notion.site/f0b5dc7ec5f0420c919b53a2cb50dca0
Y,Y,Y,Y,Y,1995,,『東京オレンジ「Sbjatas」』,,舞台,1995/12/8,1995/12/18,,,,https://h2col.notion.site/332e56b1b018416d8c9e8d4853f96f7a
Y,Y,Y,Y,Y,1995,,ハートにS 第19話 「休刊日」,,TV,1995/8/22,1995/8/22,,,,https://h2col.notion.site/f84e8818c0424a65b255f16761e16ebd
Y,Y,Y,Y,Y,1995,,『東京オレンジ featured by双数姉妹「コサック TOKИOへ行く」』,,舞台,1995/7/28,1995/8/6,,,,https://h2col.notion.site/67718950e4d14d988647e5e3766fbd07
Y,Y,Y,Y,Y,1995,,『東京オレンジ「Expo Mania」』,主演,舞台,1995/6/16,1995/6/26,,,,https://h2col.notion.site/c90f851ddd294254af2fd59f0d5c479a
Y,Y,Y,Y,Y,1995,,『双数姉妹「コサック」』,,舞台,1995/5/3,1995/5/15,,,,https://h2col.notion.site/cc100c22fe9e4792ab51e89b06f5ed12
Y,Y,Y,Y,Y,1995,,『ミヤギサトシプレゼンツ「本牧マクベス」』,,舞台,1995/1/20,1995/1/29,,,,https://h2col.notion.site/2fcf77cb07e9408f97369056fc34e1e3
Y,Y,Y,Y,Y,1994,,『東京オレンジ「SWAMP DANCE」』,,舞台,1994/12/3,1994/12/12,,,,https://h2col.notion.site/af60acda0f944964a757675c7c523241
Y,Y,Y,Y,Y,1994,,『東京オレンジ「Ｐ」』,,舞台,1994/5/29,1994/6/5,,,,https://h2col.notion.site/88ba895ade2e48408dce0e927495a68e
Y,Y,Y,Y,Y,1993,,『東京オレンジ「楽しい終末」』,,舞台,1993/12/18,1993/12/23,,,,https://h2col.notion.site/64c9801b4ad44164b976c7b69537f2bc
Y,Y,Y,Y,Y,1993,,『東京オレンジ「ウミガドウミエル」』,,舞台,1993/5/24,1993/5/28,,,,https://h2col.notion.site/243c5c253eae46d4b33b0c4ae14ad2d4
,Y,,Y,,2005,深井零,戦闘妖精雪風 OPERATION 5,主演,声の出演,2005/8/26,2005/8/26,,,,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc
,Y,,Y,,2004,深井零,戦闘妖精雪風 OPERATION 4,主演,声の出演,2004/4/23,2004/4/23,,,,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc
,Y,,Y,,2003,深井零,戦闘妖精雪風 OPERATION 3,主演,声の出演,2003/8/22,2003/8/22,,,,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc
,Y,,Y,,2003,深井零,戦闘妖精雪風 OPERATION 2,主演,声の出演,2003/2/25,2003/2/25,,,,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc
,Y,,Y,,2001,深井零,こちら葛飾区亀有公園前派出所 第211話,,声の出演,2001/8/12,2001/8/12,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,Y,,Y,,2001,深井零,こちら葛飾区亀有公園前派出所 第193話,,声の出演,2001/1/21,2001/1/21,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,Y,,Y,,2000,白鳥麗次,こちら葛飾区亀有公園前派出所 第175話,,声の出演,2000/9/3,2000/9/3,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,Y,,Y,,1999,白鳥麗次,こちら葛飾区亀有公園前派出所 第142話,,声の出演,1999/10/17,1999/10/17,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,Y,,Y,,1998,白鳥麗次,こちら葛飾区亀有公園前派出所 第72話,,声の出演,1998/2/22,1998/2/22,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,Y,,Y,,1997,白鳥麗次,こちら葛飾区亀有公園前派出所 第38話,,声の出演,1997/5/8,1997/5/8,,,,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f
,,Y,,Y,2009,大庭葉蔵,人間失格　ディレクターズカット版,主演,声の出演,2009/12/12,2009/12/12,,,,https://h2col.notion.site/bb130fe29f424f9c8ccdb6a4e763bb3c
