Date,Works Type,Title,URL
2017/9/3,Bangumi,世界初 極北の冒険 デナリ大滑降,https://h2col.notion.site/bd345ddea86d4da3b093c7dede4c65e3
2017/5/17,Event,『北の桜守』の撮影現場公開,https://h2col.notion.site/1c88a08476c7806185d7c5fcf0c5574e
2017/4/16,Bangumi,熊本城再建 “サムライの英知”を未来へ,https://h2col.notion.site/a111413d27f54f99bc5a2ebe6713ead4
2017/4/4,Event,「クラフトボス」新CM発表会,https://h2col.notion.site/19c8a08476c7802485f1fd93b0649e43
2016/11/25,Event,NHK大河ドラマ主演バトンタッチセレモニー,https://h2col.notion.site/1848a08476c7804593beda217df973ca
2016/1/17,Event,大河ドラマ館・ドラマ展 オープニングセレモニー,https://h2col.notion.site/1c88a08476c78060b995da09a9616c9d
2015/12/31,TV Shows,第66回NHK紅白歌合戦,https://h2col.notion.site/1228a08476c780869290e3a7a6bef017
2015/12/14,Event,「真田丸」初回完成試写会,https://h2col.notion.site/1848a08476c780b7b3dfd77d46fea3c4
2015/12/13,Event,『ブラタモリ×鶴瓶の家族に乾杯 真田丸スペシャル』取材会 会見,https://h2col.notion.site/1858a08476c78056a0a1cb9bc2968a8d
2015/11/25,Event,NHK大河ドラマ主演バトンタッチセレモニー,https://h2col.notion.site/1848a08476c7808c8d58f8bbb5c4eba5
2015/9/24,Event,「真田丸」キャスト発表会見,https://h2col.notion.site/1848a08476c780c8a856fb49caf5d25c
2015/9/5,Event,「真田丸」取材会 @長野県上田市,https://h2col.notion.site/1ac8a08476c78034bffadc6adeb95219
2015/7/10,Event,「真田丸」キャスト発表会見,https://h2col.notion.site/1848a08476c780198663ff401de9e256
2015/1/1,Bangumi,"戦後７０年　ニッポンの肖像 
プロローグ 私たちはどう生きてきたか",https://h2col.notion.site/12ce9dbffed846ffb37e060dbe8ec5f6
2014/12/20,Event,『戦後70年 ニッポンの肖像 プロローグ 私たちはどう生きてきたか』スタジオ取材会,https://h2col.notion.site/19f8a08476c7803a86c6d8d2ab71f434
2014/11/13,Event,「リーガルハイ・スペシャル」発表会見,https://h2col.notion.site/1848a08476c780efbd2cc9b306e98e05
2014/10/23,Festival / Awards,東京ドラマアウォード2014,https://h2col.notion.site/1478a08476c780a686b9ef304722ef68
2014/4/15,Event,「パンドラ ～永遠の命～」製作記者会見,https://h2col.notion.site/1848a08476c78095b4f6f409847a4d70
2014/3/4,Event,「キリン のどごし<生>」新CM発表会,https://h2col.notion.site/19c8a08476c78067b0e6dcd43d13ca20
2013/11/12,Event,『リーガルハイ』第6話特別先行試写会,https://h2col.notion.site/1848a08476c7807e930ceb94611707b5
2013/10/27,Bangumi,"2013皇室スペシャル　
皇后の道　美智子さまが歩んだ“時代”",https://h2col.notion.site/c499ba089efd42a2bf8dd35d7a0e87ea
2013/10/22,Event,「サッポロ一番　頂（いただき）」新ＣＭ発表会,https://h2col.notion.site/19c8a08476c7808fbccbe9be7c3b3835
2013/10/3,Event,「リーガルハイ」初回の完成披露試写会,https://h2col.notion.site/1848a08476c780b09369c08e6ba015a4
2013/7/1,Event,『半沢直樹』完成披露試写会,https://h2col.notion.site/1848a08476c7809cb046e50bed3e0b51
2013/6/3,Festival / Awards,第50回ギャラクシー賞,https://h2col.notion.site/17f8a08476c780b0ae5ef9d2badc1996
2013/4/1,Event,『リーガル・ハイ』完成披露試写会,https://h2col.notion.site/1848a08476c780d1880ec69b2e253509
2013/3/16,Event,「ひまわりと子犬の7日間」初日舞台挨拶,https://h2col.notion.site/1848a08476c780e5b6aec2bad02859cd
2013/3/8,Festival / Awards,第36回日本アカデミ賞,https://h2col.notion.site/12e8a08476c78083a74bf399888e4ac3
2013/2/17,Bangumi,"2013皇室スペシャル
陛下の覚悟〜つらぬいた365日 その原点〜",https://h2col.notion.site/52a894c82a7d49038ec200a45b4280ba
2013/2/6,Event,「ひまわりと子犬の7日間」完成披露舞台挨拶 & 公開記者会見,https://h2col.notion.site/1848a08476c7809b95b8dbbd42954eaa
2013/1/14,Event,『ひまわりと子犬の7日間』特別試写会,https://h2col.notion.site/1848a08476c780b79a07ec66d5f4f848
2012/12/28,Festival / Awards,第25回日刊スポーツ映画大賞・石原裕次郎賞 授賞式,https://h2col.notion.site/2b28a08476c780e3807ddec373ab2b34
2012/12/22,Event,「大奥～永遠～［右衛門佐・綱吉編］」初日舞台あいさつ,https://h2col.notion.site/1848a08476c780b1bffac25d754213c2
2012/12/17,Event,『大奥 永遠 右衛門佐・綱吉篇』プレミアム試写会,https://h2col.notion.site/1848a08476c780bab7c1fc095ad0561b
2012/12/13 → 2012/12/16,Festival / Awards,第55回アジア太平洋映画祭,https://h2col.notion.site/1478a08476c780fa9fa4eab79af97a4f
2012/11/30,Event,『大奥～永遠～[右衛門佐・綱吉篇]』西日本記者会見,https://h2col.notion.site/1848a08476c780c09397dac19070aa31
2012/11/17,Event,『その夜の侍』初日舞台あいさつ,https://h2col.notion.site/1848a08476c780bfbad6f44e56d2dd9e
2012/11/7,Event,『その夜の侍』完成披露プレミア試写会,https://h2col.notion.site/1848a08476c78081ae3ef7d80b84f5c3
2012/10/25,Event,『大奥 永遠 右衛門佐・綱吉篇』完成披露試写会,https://h2col.notion.site/1848a08476c780b3961de40461245582
2012/10/22,Festival / Awards,東京ドラマアウォード2012,https://h2col.notion.site/1478a08476c7803cab5fd6130b1aa063
