DateStart,DateEnd,Weekday,Add,Date,Title,URL,Year,Role,WorksType
2001/11/4,2001/11/4,,,,ガッコの先生 第5話,https://h2col.notion.site/5-30cde3bf384d4fb1880d1054e0d8d95e,2001,,TV
2001/10/12,2001/12/21,5,,,嫉妬の香り,https://h2col.notion.site/f50018d8448a482e9321d3c0861fa908,2001,,TV
2001/10/6,2001/10/7,,,,反乱のボヤージュ,https://h2col.notion.site/2b016f01d2ec47769f131ffcc136fd5b,2001,,TV
2001/6/23,2001/6/23,,,,ココニイルコト,https://h2col.notion.site/96d59397699540228675dbdf0d00f3e3,2001,主演,映画
2001/6/2,2001/7/22,,,,VAMP SHOW,https://h2col.notion.site/VAMP-SHOW-d1c69cc4f9724a768b0168e599b963c2,2001,主演,舞台
2001/1/20,2001/1/20,,,,張り込み,https://h2col.notion.site/864e5e418d874d83ba897d4eb3dc6090,2001,,映画
2000/10/2,2001/3/31,-7,,,オードリー,https://h2col.notion.site/caa88bf792364a2bb45fe2d4b2d40f57,2000,,TV
2000/9/3,2000/9/3,,,,The Goddess of 1967,https://h2col.notion.site/The-Goddess-of-1967-deb836b145684dcbaba7566e14aed7bc,2000,,映画
2000/8/5,2000/8/5,,,,巡査鉄兵の推理日誌 1 顔と指紋のない死体！,https://h2col.notion.site/1-4ac596faa61d45ef999e8f04bd604ddb,2000,,TV
2000/7/29,2000/7/29,,,,ひまわり,https://h2col.notion.site/2dda63c0f30b4e10943a6b2a424afd13,2000,,映画
2000/5/13,2000/5/20,6,,,安楽椅子探偵、再び,https://h2col.notion.site/29e060a95a3a48d29dfe2674e8d7c4fa,2000,,TV
2000/3/29,2000/3/29,,,,恋詩物語～ラブソング,https://h2col.notion.site/bf3d658bf0cf4b7eaa7372799e3c7dc5,2000,,TV
2000/2/26,2000/2/26,,,,火星のわが家,https://h2col.notion.site/96bd672a0ddc4988b095f46723127998,2000,,映画
2000/2/9,2000/2/20,,,,ビューティフル・サンデイ,https://h2col.notion.site/d1612c82ce8e4b8bab8866706a5b1628,2000,,舞台
1999/12/27,1999/12/28,,,,『Improv of ROVIC HOUSE　Improv Messe vol.2』,https://h2col.notion.site/Improv-of-ROVIC-HOUSE-Improv-Messe-vol-2-d516ef481c414a1ab911692f4b3bedd8,1999,,舞台
1999/11/11,1999/11/25,4,,,玩具の神様,https://h2col.notion.site/b672f2cfd5014a2e82bcccc5455558fc,1999,,TV
1999/10/25,1999/10/26,,,,『Improv of ROVIC HOUSE　シアタースポーツナイト2DAYS』,https://h2col.notion.site/Improv-of-ROVIC-HOUSE-2DAYS-4d41bd2b63d349ccb14e6033a9f189d2,1999,,舞台
1999/10/6,1999/10/11,,,,"『東京オレンジ「Re:～6 scattered messages from Angelstown,Tokyo」』",https://h2col.notion.site/Re-6-scattered-messages-from-Angelstown-Tokyo-481b5681da7b44248cfb3274f4a1f0a2,1999,主演,舞台
1999/9/9,1999/9/9,,,,国産ひな娘 File23 「絶体絶命 エピソード2」,https://h2col.notion.site/File23-2-fa5c3685612c4747a69902cc60389ecf,1999,,TV
1999/9/1,1999/9/1,,,,『東京コメディストア　Theater Sports』,https://h2col.notion.site/Theater-Sports-e0bac2b6185a49a5bda584a953b64fbe,1999,,舞台
